iso3,num,name,eu,oecd,default_spec
AUS,36,Australia,0,1,"gov(pmnegot:DIMPF) minority(yes;antisys:no) vp(gov,2ch)"
AUT,40,Austria,1,1,"gov(seats) minority(yes;antisys:no) vp(gov)"
BEL,56,Belgium,1,1,"gov(seats) minority(yes;antisys:no) vp(gov,2ch)"
BGR,100,Bulgaria,1,0,"gov(seats) minority(yes;antisys:no) vp(gov,pres)"
CAN,124,Canada,0,1,"gov(pmnegot:DIMPF) minority(yes;antisys:no) vp(gov,2ch)"
HRV,191,Croatia,1,0,"gov(seats) minority(yes;antisys:no) vp(gov)"
CYP,196,Cyprus,1,0,"gov(seats) minority(yes;antisys:no) vp(gov)"
CZE,203,Czechia,1,0,"gov(seats) minority(yes;antisys:no) vp(gov)"
DNK,208,Denmark,1,1,"gov(pmnegot:DIMPF) minority(yes;antisys:13951) vp(gov,2ch)"
EST,233,Estonia,1,0,"gov(seats) minority(yes;antisys:no) vp(gov)"
FIN,246,Finland,1,1,"gov(seats) minority(yes;antisys:no) vp(gov,pres)"
FRA,250,France,1,1,"gov(pmnegot:DIMPF) minority(yes;antisys:31720) vp(special_aspm)"
GER,276,Germany,1,1,"gov(minister:DIMPF) minority(yes;antisys:no) vp(gov,2ch)"
GRC,300,Greece,1,1,"gov(minister:DIMPF) minority(yes;antisys:no) vp(gov)"
HUN,348,Hungary,1,0,"gov(seats) minority(yes;antisys:no) vp(gov)"
ISL,352,Iceland,0,1,"gov(pmnegot:DIMPF) minority(yes;antisys:no) vp(gov)"
IRL,372,Ireland,1,1,"gov(pmnegot:DIMPF) minority(yes;antisys:53951) vp(gov)"
ITA,380,Italy,1,1,"gov(minister:DIMPF) minority(yes;antisys:32710) vp(gov,2ch)"
JPN,392,Japan,0,1,"gov(minister:DIMPF) minority(yes;antisys:no) vp(gov,2ch)"
LVA,428,Latvia,1,0,"gov(seats) minority(yes;antisys:no) vp(gov,pres)"
LTU,440,Lithuania,1,0,"gov(seats) minority(yes;antisys:no) vp(gov,pres)"
LUX,442,Luxembourg,1,0,"gov(seats) minority(yes;antisys:no) vp(gov)"
MLT,470,Malta,1,0,"gov(seats) minority(yes;antisys:no) vp(gov)"
NLD,528,Netherlands,1,1,"gov(seats) minority(yes;antisys:no) vp(gov,2ch)"
NZL,554,New Zealand,0,1,"gov(pmnegot:DIMPF) minority(yes;antisys:no) vp(gov)"
NOR,578,Norway,0,1,"gov(seats) minority(yes;antisys:12951) vp(gov)"
POL,616,Poland,1,0,"gov(seats) minority(yes;antisys:no) vp(gov)"
PRT,620,Portugal,1,1,"gov(pmnegot:DIMPF) minority(yes;antisys:no) vp(gov,pres)"
ROU,642,Romania,1,0,"gov(seats) minority(yes;antisys:no) vp(gov,2ch)"
SVK,703,Slovakia,1,0,"gov(seats) minority(yes;antisys:no) vp(gov)"
SVN,705,Slovenia,1,0,"gov(seats) minority(yes;antisys:no) vp(gov)"
ESP,724,Spain,1,1,"gov(pmnegot:DIMPF) minority(yes;antisys:no) vp(gov,2ch)"
SWE,752,Sweden,1,1,"gov(seats) minority(yes;antisys:11951) vp(gov,2ch)"
SWI,756,Switzerland,0,1,"gov(seats) minority(yes;antisys:no) vp(special_aspm)"
UK,826,United Kingdom,0,1,"gov(pmnegot:DIMPF) minority(yes;antisys:no) vp(gov)"
USA,840,United States,0,1,"gov(special_aspm) minority(yes;antisys:no) vp(special_aspm)"
