"dim","iso","year","quarter","techq","eu","median1st","median2nd","pres","GOV_POS","govmin","govmax","VP_RANGE","VP_RANGE_EU","minoritygov"
"LR",36,1946,-54,-54,,-6.1162,-6.1162,,-6.1162,-6.1162,-6.1162,0,0,0
"LR",36,1946,-53,-53,,-6.0425,-6.0425,,-6.0425,-6.0425,-6.0425,0,0,0
"LR",36,1947,-52,-52,,-5.9688,-5.9688,,-5.9688,-5.9688,-5.9688,0,0,0
"LR",36,1947,-51,-51,,-5.8951,-5.8951,,-5.8951,-5.8951,-5.8951,0,0,0
"LR",36,1947,-50,-50,,-5.8215,-5.8215,,-5.8215,-5.8215,-5.8215,0,0,0
"LR",36,1947,-49,-49,,-5.7478,-5.7478,,-5.7478,-5.7478,-5.7478,0,0,0
"LR",36,1948,-48,-48,,-5.6741,-5.6741,,-5.6741,-5.6741,-5.6741,0,0,0
"LR",36,1948,-47,-47,,-5.6004,-5.6004,,-5.6004,-5.6004,-5.6004,0,0,0
"LR",36,1948,-46,-46,,-5.5268,-5.5268,,-5.5268,-5.5268,-5.5268,0,0,0
"LR",36,1948,-45,-45,,-5.4531,-5.4531,,-5.4531,-5.4531,-5.4531,0,0,0
"LR",36,1949,-44,-44,,-5.3794,-5.3794,,-5.3794,-5.3794,-5.3794,0,0,0
"LR",36,1949,-43,-43,,-5.3057,-5.3057,,-5.3057,-5.3057,-5.3057,0,0,0
"LR",36,1949,-42,-42,,-5.2321,-5.2321,,-5.2321,-5.2321,-5.2321,0,0,0
"LR",36,1949,-41,-41,,-5.1584,-5.1584,,-5.1584,-5.1584,-5.1584,0,0,0
"LR",36,1950,-40,-40,,11.8036,-5.62,,12.1419,11.8036,12.2588,17.8788,17.8788,0
"LR",36,1950,-39,-39,,9.4428,-6.0816,,11.5209,9.4428,12.2388,18.3203,18.3203,0
"LR",36,1950,-38,-38,,7.0821,-6.5432,,10.8998,7.0821,12.2187,18.7619,18.7619,0
"LR",36,1950,-37,-37,,4.7214,-7.0048,,10.2788,4.7214,12.1986,19.2034,19.2034,0
"LR",36,1951,-36,-36,,2.3607,-7.4664,,9.6577,2.3607,12.1785,19.6449,19.6449,0
"LR",36,1951,-35,-35,,0,0,,9.1629,0,12.1584,12.1584,12.1584,0
"LR",36,1951,-34,-34,,2.0459,2.0459,,9.2956,2.0459,11.6657,9.6198,9.6198,0
"LR",36,1951,-33,-33,,4.0919,4.0919,,9.4284,4.0919,11.173,7.0811,7.0811,0
"LR",36,1952,-32,-32,,6.1378,6.1378,,9.5612,6.1378,10.6803,4.5425,4.5425,0
"LR",36,1952,-31,-31,,8.1838,8.1838,,9.6939,8.1838,10.1876,2.0038,2.0038,0
"LR",36,1952,-30,-30,,9.6949,9.6949,,9.8267,9.6949,10.2297,0.5348,0.5348,0
"LR",36,1952,-29,-29,,9.2022,9.2022,,9.9594,9.2022,12.2757,3.0734,3.0734,0
"LR",36,1953,-28,-28,,8.7095,8.7095,,10.0922,8.7095,14.3216,5.6121,5.6121,0
"LR",36,1953,-27,-27,,8.2168,8.2168,,10.225,8.2168,16.3676,8.1507,8.1507,0
"LR",36,1953,-26,-26,,7.7241,7.7241,,10.3577,7.7241,18.4135,10.6894,10.6894,0
"LR",36,1953,-25,-25,,7.2314,7.2314,,10.4905,7.2314,20.4594,13.228,13.228,0
"LR",36,1954,-24,-24,,6.7387,6.7387,,10.6233,6.7387,22.5054,15.7667,15.7667,0
"LR",36,1954,-23,-23,,6.246,6.246,,10.756,6.246,24.5513,18.3053,18.3053,0
"LR",36,1954,-22,-22,,6.9411,6.9411,,6.9411,6.9411,23.2901,16.349,16.349,0
"LR",36,1954,-21,-21,,7.6361,7.6361,,7.6361,7.6361,22.0289,14.3927,14.3927,0
"LR",36,1955,-20,-20,,8.3312,8.3312,,8.3312,8.3312,20.7676,12.4364,12.4364,0
"LR",36,1955,-19,-19,,9.0263,9.0263,,9.0263,9.0263,19.5064,10.4801,10.4801,0
"LR",36,1955,-18,-18,,9.7214,9.7214,,9.7214,9.7214,18.2451,8.5238,8.5238,0
"LR",36,1955,-17,-17,,10.4164,10.4164,,10.4164,10.4164,16.9839,6.5675,6.5675,0
"LR",36,1956,-16,-16,,10.0106,5.8284,,10.0106,10.0106,16.3533,10.5248,10.5248,0
"LR",36,1956,-15,-15,,9.6048,5.6342,,9.6048,9.6048,15.7226,10.0884,10.0884,0
"LR",36,1956,-14,-14,,9.199,5.44,,9.199,9.199,15.092,9.652,9.652,0
"LR",36,1956,-13,-13,,8.7932,5.2458,,8.7932,8.7932,14.4614,9.2156,9.2156,0
"LR",36,1957,-12,-12,,8.3874,5.0516,,8.3874,8.3874,13.8308,8.7791,8.7791,0
"LR",36,1957,-11,-11,,7.9816,4.8574,,7.9816,7.9816,13.2001,8.3427,8.3427,0
"LR",36,1957,-10,-10,,7.5757,4.6632,,7.5757,7.5757,12.5695,7.9063,7.9063,0
"LR",36,1957,-9,-9,,7.1699,4.469,,7.1699,7.1699,11.9389,7.4699,7.4699,0
"LR",36,1958,-8,-8,,6.7641,4.2748,,6.7641,6.7641,11.3083,7.0335,7.0335,0
"LR",36,1958,-7,-7,,6.3583,4.0806,,6.3583,6.3583,10.6777,6.597,6.597,0
"LR",36,1958,-6,-6,,5.9525,3.8864,,5.9525,5.9525,10.047,6.1606,6.1606,0
"LR",36,1958,-5,-5,,5.5467,3.6922,,5.5467,5.5467,9.4164,5.7242,5.7242,0
"LR",36,1959,-4,-4,,5.6489,5.6489,,5.6489,5.6489,9.2048,3.5559,3.5559,0
"LR",36,1959,-3,-3,,5.7511,5.7511,,5.7511,5.7511,8.9931,3.242,3.242,0
"LR",36,1959,-2,-2,,5.8533,5.8533,,5.8533,5.8533,8.7815,2.9282,2.9282,0
"LR",36,1959,-1,-1,,5.9555,5.9555,,5.9555,5.9555,8.5698,2.6143,2.6143,0
"LR",36,1960,0,0,,6.0577,6.0577,,6.0577,6.0577,8.3582,2.3005,2.3005,0
