"iso","year","quarter","techq","party","name","LR","LR_IMP","LR_CORE","LR_CORE_IMP","LR_PLUS","LR_PLUS_IMP","LR_COH","GG","GG_IMP","GG_CORE","GG_CORE_IMP","GG_PLUS","GG_PLUS_IMP","GG_COH","RILE"
36,2004,179,179,63110,"Australian Greens",-22.4111,70.5682,-0.504,3.1914,-22.2655,67.3769,38.7754,-22.9705,66.6683,-11.8892,27.6595,-11.2497,39.0089,57.3608,-26.855
36,2005,180,180,63110,"Australian Greens",-22.8376,70.8918,-0.5444,3.1383,-22.6253,67.7535,38.1775,-23.2721,66.7695,-12.0233,27.9092,-11.4997,38.8602,58.3532,-26.9893
36,2005,181,181,63110,"Australian Greens",-23.2641,71.2154,-0.5848,3.0853,-22.9851,68.1302,37.5795,-23.5738,66.8706,-12.1573,28.159,-11.7497,38.7116,59.3457,-27.1237
36,2005,182,182,63110,"Australian Greens",-23.6906,71.539,-0.6253,3.0323,-23.3449,68.5068,36.9816,-23.8754,66.9717,-12.2914,28.4087,-11.9997,38.563,60.3382,-27.258
36,2005,183,183,63110,"Australian Greens",-24.1172,71.8627,-0.6657,2.9792,-23.7047,68.8834,36.3836,-24.1771,67.0728,-12.4254,28.6584,-12.2497,38.4143,61.3307,-27.3923
36,2006,184,184,63110,"Australian Greens",-24.5437,72.1863,-0.7061,2.9262,-24.0645,69.2601,35.7856,-24.4788,67.1739,-12.5595,28.9082,-12.4997,38.2657,62.3232,-27.5267
36,2006,185,185,63110,"Australian Greens",-24.9702,72.5099,-0.7465,2.8732,-24.4243,69.6367,35.1877,-24.7804,67.275,-12.6936,29.1579,-12.7497,38.1171,63.3156,-27.661
36,2006,186,186,63110,"Australian Greens",-25.3967,72.8335,-0.787,2.8201,-24.7841,70.0134,34.5897,-25.0821,67.3761,-12.8276,29.4077,-12.9998,37.9684,64.3081,-27.7953
36,2006,187,187,63110,"Australian Greens",-25.8232,73.1571,-0.8274,2.7671,-25.1438,70.39,33.9918,-25.3837,67.4772,-12.9617,29.6574,-13.2498,37.8198,65.3006,-27.9297
36,2007,188,188,63110,"Australian Greens",-26.2497,73.4807,-0.8678,2.7141,-25.5036,70.7666,33.3938,-25.6854,67.5783,-13.0957,29.9072,-13.4998,37.6712,66.2931,-28.064
36,2007,189,189,63110,"Australian Greens",-26.6763,73.8043,-0.9082,2.661,-25.8634,71.1433,32.7959,-25.9871,67.6794,-13.2298,30.1569,-13.7498,37.5225,67.2856,-28.1983
36,2007,190,190,63110,"Australian Greens",-27.1028,74.1279,-0.9486,2.608,-26.2232,71.5199,32.1979,-26.2887,67.7805,-13.3638,30.4066,-13.9998,37.3739,68.278,-28.3327
36,2007,191,191,63110,"Australian Greens",-27.5293,74.4515,-0.9891,2.5549,-26.583,71.8966,31.6,-26.5904,67.8817,-13.4979,30.6564,-14.2498,37.2253,69.2705,-28.467
36,2008,192,192,63110,"Australian Greens",-27.2612,73.9817,-0.9912,2.633,-26.311,71.3487,30.6552,-26.3171,67.581,-13.1856,30.4943,-14.2677,37.0867,68.0759,-28.0634
36,2008,193,193,63110,"Australian Greens",-26.9931,73.5118,-0.9932,2.711,-26.0391,70.8009,29.7104,-26.0438,67.2803,-12.8732,30.3323,-14.2857,36.9481,66.8814,-27.6597
